emotion,n,acc_base,acc_prop,acc_delta,f1_base,f1_prop,f1_delta,b,c,mcnemar_p
angry,40,0.675,0.75,0.07499999999999996,0.11513859275053305,0.12244897959183673,0.0073103868413036815,1,4,0.375
disgusted,40,0.525,0.825,0.29999999999999993,0.09836065573770492,0.12915851272015655,0.030797856982451632,0,12,0.00048828125
fearful,40,0.075,0.65,0.5750000000000001,0.019933554817275746,0.11255411255411255,0.0926205577368368,0,23,2.384185791015625e-07
happy,40,0.775,0.775,0.0,0.12474849094567404,0.12474849094567404,0.0,2,2,1.0
neutral,40,0.6,0.85,0.25,0.10714285714285714,0.1312741312741313,0.024131274131274152,1,11,0.00634765625
sad,40,0.6,0.925,0.32500000000000007,0.10714285714285714,0.137291280148423,0.030148423005565875,1,14,0.0009765625
surprised,40,0.35,0.65,0.30000000000000004,0.07407407407407407,0.11255411255411255,0.038480038480038475,0,12,0.00048828125
