tts,n,acc_base,acc_prop,acc_delta,f1_base,f1_prop,f1_delta,b,c,mcnemar_p
azure,70,0.5428571428571428,0.8571428571428571,0.3142857142857143,0.5213702691742619,0.8543002527964934,0.3329299836222315,1,23,2.9802322387695312e-06
cosyvoice2,70,0.37142857142857144,0.5857142857142857,0.2142857142857143,0.37966160823303685,0.5717061509918653,0.19204454275882843,2,17,0.000728607177734375
genai,70,0.7142857142857143,0.9428571428571428,0.22857142857142854,0.6875833908442603,0.9431153641679958,0.25553197332373545,0,16,3.0517578125e-05
openai,70,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.4501247118894178,0.7133797155225726,0.26325500363315485,2,22,3.5881996154785156e-05
