emotion,n,pearson_r,pearson_ci_lo,pearson_ci_hi,pearson_p,spearman_rho,spearman_p
angry,40,0.7017777165407725,0.49945421261165585,0.8315103271447029,4.527214340129496e-07,0.7237877261407605,1.3091884875499746e-07
disgusted,40,0.5551216550937307,0.29454702238526875,0.738862733383753,0.00020098043040475236,0.5191636544602422,0.0005978329752334659
fearful,40,0.6016140853156866,0.35701173952777504,0.7690053607709095,4.025201401712967e-05,0.5501726702729703,0.00023524339592194684
happy,40,0.4531041156658908,0.1648648017023547,0.6700399002544408,0.003324428665977,0.3964666056047575,0.011318492793791324
neutral,40,0.6656098639153509,0.44672642212659697,0.8093132192850122,2.779218572742609e-06,0.7319693773402638,8.00752918524986e-08
sad,40,0.4588939447933075,0.17196727555133048,0.6740482607212301,0.0028982880970180734,0.5338804372128017,0.00038833253228410353
surprised,40,0.5172037934398239,0.24519946642021107,0.7137225742175946,0.0006322635201315166,0.39840246117686096,0.010890036716042927
